"Query","Last available name","miRBase accession","First miRBase version","Last miRBase version","Name in version 21.0"
"ebv-miR-BART12","ebv-miR-BART12","MIMAT0003423","8.1","21.0","ebv-miR-BART12"
"hsa-let-7a","hsa-let-7a-5p","MIMAT0000062","1.1","21.0","hsa-let-7a-5p"
"hsa-let-7a*","hsa-let-7a-3p","MIMAT0004481","10.0","21.0","hsa-let-7a-3p"
"hsa-let-7b","hsa-let-7b-5p","MIMAT0000063","1.1","21.0","hsa-let-7b-5p"
"hsa-let-7b*","hsa-let-7b-3p","MIMAT0004482","10.0","21.0","hsa-let-7b-3p"
"hsa-let-7c","hsa-let-7c-5p","MIMAT0000064","1.1","21.0","hsa-let-7c-5p"
"hsa-let-7c*","hsa-let-7c*","MIMAT0004483","10.0","16.0","-"
"hsa-let-7d","hsa-let-7d-5p","MIMAT0000065","1.1","21.0","hsa-let-7d-5p"
"hsa-let-7d*","hsa-let-7d-3p","MIMAT0004484","10.0","21.0","hsa-let-7d-3p"
"hsa-let-7e","hsa-let-7e-5p","MIMAT0000066","1.1","21.0","hsa-let-7e-5p"
"hsa-let-7e*","hsa-let-7e-3p","MIMAT0004485","10.0","21.0","hsa-let-7e-3p"
"hsa-let-7f","hsa-let-7f-5p","MIMAT0000067","1.1","21.0","hsa-let-7f-5p"
"hsa-let-7f-1*","hsa-let-7f-1-3p","MIMAT0004486","10.0","21.0","hsa-let-7f-1-3p"
"hsa-let-7f-2*","hsa-let-7f-2-3p","MIMAT0004487","10.0","21.0","hsa-let-7f-2-3p"
"hsa-let-7g","hsa-let-7g-5p","MIMAT0000414","2.0","21.0","hsa-let-7g-5p"
"hsa-let-7g*","hsa-let-7g-3p","MIMAT0004584","10.0","21.0","hsa-let-7g-3p"
"hsa-let-7i","hsa-let-7i-5p","MIMAT0000415","2.0","21.0","hsa-let-7i-5p"
"hsa-let-7i*","hsa-let-7i-3p","MIMAT0004585","10.0","21.0","hsa-let-7i-3p"
"hsa-miR-1","hsa-miR-1-3p","MIMAT0000416","2.0","21.0","hsa-miR-1-3p"
"hsa-miR-100","hsa-miR-100-5p","MIMAT0000098","1.1","21.0","hsa-miR-100-5p"
"hsa-miR-100*","hsa-miR-100-3p","MIMAT0004512","10.0","21.0","hsa-miR-100-3p"
"hsa-miR-101","hsa-miR-101-3p","MIMAT0000099","1.1","21.0","hsa-miR-101-3p"
"hsa-miR-101*","hsa-miR-101-5p","MIMAT0004513","10.0","21.0","hsa-miR-101-5p"
"hsa-miR-103","hsa-miR-103a-3p","MIMAT0000101","1.1","21.0","hsa-miR-103a-3p"
"hsa-miR-103-as","hsa-miR-103b","MIMAT0007402","12.0","21.0","hsa-miR-103b"
"hsa-miR-105","hsa-miR-105-5p","MIMAT0000102","1.1","21.0","hsa-miR-105-5p"
"hsa-miR-105*","hsa-miR-105-3p","MIMAT0004516","10.0","21.0","hsa-miR-105-3p"
"hsa-miR-106a","hsa-miR-106a-5p","MIMAT0000103","1.1","21.0","hsa-miR-106a-5p"
"hsa-miR-106a*","hsa-miR-106a-3p","MIMAT0004517","10.0","21.0","hsa-miR-106a-3p"
"hsa-miR-106b","hsa-miR-106b-5p","MIMAT0000680","3.0","21.0","hsa-miR-106b-5p"
"hsa-miR-106b*","hsa-miR-106b-3p","MIMAT0004672","10.0","21.0","hsa-miR-106b-3p"
"hsa-miR-107","hsa-miR-107","MIMAT0000104","1.1","21.0","hsa-miR-107"
"hsa-miR-10a","hsa-miR-10a-5p","MIMAT0000253","1.2","21.0","hsa-miR-10a-5p"
"hsa-miR-10a*","hsa-miR-10a-3p","MIMAT0004555","10.0","21.0","hsa-miR-10a-3p"
"hsa-miR-10b","hsa-miR-10b-5p","MIMAT0000254","1.2","21.0","hsa-miR-10b-5p"
