"Query","Last available name","miRBase accession","First miRBase version","Last miRBase version","Name in version 21.0"
"hsa-let-7b*","hsa-let-7b-3p","MIMAT0004482","10.0","21.0","hsa-let-7b-3p"
"hsa-let-7d*","hsa-let-7d-3p","MIMAT0004484","10.0","21.0","hsa-let-7d-3p"
"hsa-let-7f-2*","hsa-let-7f-2-3p","MIMAT0004487","10.0","21.0","hsa-let-7f-2-3p"
"hsa-miR-1","hsa-miR-1-3p","MIMAT0000416","2.0","21.0","hsa-miR-1-3p"
"hsa-miR-10b","hsa-miR-10b-5p","MIMAT0000254","1.2","21.0","hsa-miR-10b-5p"
"hsa-miR-10b*","hsa-miR-10b-3p","MIMAT0004556","10.0","21.0","hsa-miR-10b-3p"
"hsa-miR-1238","hsa-miR-1238-3p","MIMAT0005593","10.1","21.0","hsa-miR-1238-3p"
"hsa-miR-1245","hsa-miR-1245a","MIMAT0005897","11.0","21.0","hsa-miR-1245a"
"hsa-miR-1246","hsa-miR-1246","MIMAT0005898","11.0","21.0","hsa-miR-1246"
"hsa-miR-1258","hsa-miR-1258","MIMAT0005909","11.0","21.0","hsa-miR-1258"
"hsa-miR-126*","hsa-miR-126-5p","MIMAT0000444","3.0","21.0","hsa-miR-126-5p"
"hsa-miR-1262","hsa-miR-1262","MIMAT0005914","11.0","21.0","hsa-miR-1262"
"hsa-miR-127-3p","hsa-miR-127-3p","MIMAT0000446","2.0","21.0","hsa-miR-127-3p"
"hsa-miR-1279","hsa-miR-1279","MIMAT0005937","11.0","21.0","hsa-miR-1279"
"hsa-miR-1282","hsa-miR-1282","MIMAT0005940","11.0","21.0","hsa-miR-1282"
"hsa-miR-1283","hsa-miR-1283","MIMAT0005799","11.0","21.0","hsa-miR-1283"
"hsa-miR-1290","hsa-miR-1290","MIMAT0005880","11.0","21.0","hsa-miR-1290"
"hsa-miR-1299","hsa-miR-1299","MIMAT0005887","11.0","21.0","hsa-miR-1299"
"hsa-miR-130b*","hsa-miR-130b-5p","MIMAT0004680","10.0","21.0","hsa-miR-130b-5p"
"hsa-miR-132*","hsa-miR-132-5p","MIMAT0004594","10.0","21.0","hsa-miR-132-5p"
"hsa-miR-133a","hsa-miR-133a-3p","MIMAT0000427","2.0","21.0","hsa-miR-133a-3p"
"hsa-miR-133b","hsa-miR-133b","MIMAT0000770","3.1","21.0","hsa-miR-133b"
"hsa-miR-135b","hsa-miR-135b-5p","MIMAT0000758","3.1","21.0","hsa-miR-135b-5p"
"hsa-miR-136","hsa-miR-136-5p","MIMAT0000448","2.0","21.0","hsa-miR-136-5p"
"hsa-miR-136*","hsa-miR-136-3p","MIMAT0004606","10.0","21.0","hsa-miR-136-3p"
"hsa-miR-142-3p","hsa-miR-142-3p","MIMAT0000434","2.2","21.0","hsa-miR-142-3p"
"hsa-miR-1468","hsa-miR-1468-5p","MIMAT0006789","12.0","21.0","hsa-miR-1468-5p"
"hsa-miR-149","hsa-miR-149-5p","MIMAT0000450","2.0","21.0","hsa-miR-149-5p"
"hsa-miR-154","hsa-miR-154-5p","MIMAT0000452","2.0","21.0","hsa-miR-154-5p"
"hsa-miR-155*","hsa-miR-155-3p","MIMAT0004658","10.0","21.0","hsa-miR-155-3p"
"hsa-miR-181b","hsa-miR-181b-5p","MIMAT0000257","1.2","21.0","hsa-miR-181b-5p"
"hsa-miR-190b","hsa-miR-190b","MIMAT0004929","10.0","21.0","hsa-miR-190b"
"hsa-miR-193a-3p","hsa-miR-193a-3p","MIMAT0000459","2.0","21.0","hsa-miR-193a-3p"
"hsa-miR-196a","hsa-miR-196a-5p","MIMAT0000226","1.1","21.0","hsa-miR-196a-5p"
"hsa-miR-196b","hsa-miR-196b-5p","MIMAT0001080","4.0","21.0","hsa-miR-196b-5p"
"hsa-miR-199a-3p","hsa-miR-199a-3p","MIMAT0000232","3.0","21.0","hsa-miR-199a-3p"
"hsa-miR-199a-5p","hsa-miR-199a-5p","MIMAT0000231","1.1","21.0","hsa-miR-199a-5p"
"hsa-miR-199b-5p","hsa-miR-199b-5p","MIMAT0000263","1.2","21.0","hsa-miR-199b-5p"
"hsa-miR-200a","hsa-miR-200a-3p","MIMAT0000682","3.0","21.0","hsa-miR-200a-3p"
"hsa-miR-204","hsa-miR-204-5p","MIMAT0000265","1.2","21.0","hsa-miR-204-5p"
"hsa-miR-20b*","hsa-miR-20b-3p","MIMAT0004752","10.0","21.0","hsa-miR-20b-3p"
"hsa-miR-21*","hsa-miR-21-3p","MIMAT0004494","10.0","21.0","hsa-miR-21-3p"
"hsa-miR-219-5p","hsa-miR-219a-5p","MIMAT0000276","1.2","21.0","hsa-miR-219a-5p"
"hsa-miR-23a*","hsa-miR-23a-5p","MIMAT0004496","10.0","21.0","hsa-miR-23a-5p"
"hsa-miR-26a-2*","hsa-miR-26a-2-3p","MIMAT0004681","10.0","21.0","hsa-miR-26a-2-3p"
"hsa-miR-26b*","hsa-miR-26b-3p","MIMAT0004500","10.0","21.0","hsa-miR-26b-3p"
"hsa-miR-299-5p","hsa-miR-299-5p, hsa-miR-299-3p","MIMAT0002890, MIMAT0000687","7.1, 3.0","21.0, 21.0","hsa-miR-299-5p, hsa-miR-299-3p"
"hsa-miR-29b","hsa-miR-29b-3p","MIMAT0000100","1.1","21.0","hsa-miR-29b-3p"
"hsa-miR-29b-1*","hsa-miR-29b-1-5p","MIMAT0004514","10.0","21.0","hsa-miR-29b-1-5p"
"hsa-miR-29c*","hsa-miR-29c-5p","MIMAT0004673","10.0","21.0","hsa-miR-29c-5p"
"hsa-miR-302a","hsa-miR-302a-3p","MIMAT0000684","3.0","21.0","hsa-miR-302a-3p"
"hsa-miR-302b","hsa-miR-302b-3p","MIMAT0000715","4.0","21.0","hsa-miR-302b-3p"
"hsa-miR-302d","hsa-miR-302d-3p","MIMAT0000718","4.0","21.0","hsa-miR-302d-3p"
"hsa-miR-30b*","hsa-miR-30b-3p","MIMAT0004589","10.0","21.0","hsa-miR-30b-3p"
"hsa-miR-31*","hsa-miR-31-3p","MIMAT0004504","10.0","21.0","hsa-miR-31-3p"
"hsa-miR-32","hsa-miR-32-5p","MIMAT0000090","1.1","21.0","hsa-miR-32-5p"
"hsa-miR-323-3p","hsa-miR-323a-3p","MIMAT0000755","3.1","21.0","hsa-miR-323a-3p"
"hsa-miR-329","hsa-miR-329-3p","MIMAT0001629","7.0","21.0","hsa-miR-329-3p"
"hsa-miR-330-5p","hsa-miR-330-5p","MIMAT0004693","10.0","21.0","hsa-miR-330-5p"
"hsa-miR-335*","hsa-miR-335-3p","MIMAT0004703","10.0","21.0","hsa-miR-335-3p"
"hsa-miR-337-3p","hsa-miR-337-3p","MIMAT0000754","3.1","21.0","hsa-miR-337-3p"
"hsa-miR-33a","hsa-miR-33a-5p","MIMAT0000091","1.1","21.0","hsa-miR-33a-5p"
"hsa-miR-34a","hsa-miR-34a-5p","MIMAT0000255","1.2","21.0","hsa-miR-34a-5p"
"hsa-miR-361-5p","hsa-miR-361-5p","MIMAT0000703","5.1","21.0","hsa-miR-361-5p"
"hsa-miR-362-3p","hsa-miR-362-3p","MIMAT0004683","10.0","21.0","hsa-miR-362-3p"
"hsa-miR-369-5p","hsa-miR-369-5p","MIMAT0001621","7.0","21.0","hsa-miR-369-5p"
"hsa-miR-373","hsa-miR-373-3p","MIMAT0000726","4.0","21.0","hsa-miR-373-3p"
"hsa-miR-375","hsa-miR-375","MIMAT0000728","5.1","21.0","hsa-miR-375"
"hsa-miR-376a","hsa-miR-376a-3p","MIMAT0000729","5.1","21.0","hsa-miR-376a-3p"
"hsa-miR-376b","hsa-miR-376b-3p","MIMAT0002172","7.0","21.0","hsa-miR-376b-3p"
"hsa-miR-376c","hsa-miR-376c-3p","MIMAT0000720","4.0","21.0","hsa-miR-376c-3p"
"hsa-miR-377","hsa-miR-377-3p","MIMAT0000730","5.1","21.0","hsa-miR-377-3p"
"hsa-miR-382","hsa-miR-382-5p","MIMAT0000737","5.1","21.0","hsa-miR-382-5p"
"hsa-miR-409-3p","hsa-miR-409-3p","MIMAT0001639","7.0","21.0","hsa-miR-409-3p"
"hsa-miR-410","hsa-miR-410-3p","MIMAT0002171","7.0","21.0","hsa-miR-410-3p"
"hsa-miR-411","hsa-miR-411-5p","MIMAT0003329","8.1","21.0","hsa-miR-411-5p"
"hsa-miR-431","hsa-miR-431-5p","MIMAT0001625","7.0","21.0","hsa-miR-431-5p"
"hsa-miR-450a","hsa-miR-450a-5p","MIMAT0001545","6.0","21.0","hsa-miR-450a-5p"
"hsa-miR-450b-5p","hsa-miR-450b-5p","MIMAT0004909","10.0","21.0","hsa-miR-450b-5p"
"hsa-miR-483-3p","hsa-miR-483-3p","MIMAT0002173","7.1","21.0","hsa-miR-483-3p"
"hsa-miR-487b","hsa-miR-487b-3p","MIMAT0003180","8.0","21.0","hsa-miR-487b-3p"
"hsa-miR-488","hsa-miR-488-3p, hsa-miR-488-5p","MIMAT0004763, MIMAT0002804","10.0, 7.0","21.0, 21.0","hsa-miR-488-3p, hsa-miR-488-5p"
"hsa-miR-488*","hsa-miR-488-5p","MIMAT0002804","7.0","21.0","hsa-miR-488-5p"
"hsa-miR-491-3p","hsa-miR-491-3p","MIMAT0004765","10.0","21.0","hsa-miR-491-3p"
"hsa-miR-500","hsa-miR-500a-3p, hsa-miR-500a-5p","MIMAT0002871, MIMAT0004773","7.0, 10.0","21.0, 21.0","hsa-miR-500a-3p, hsa-miR-500a-5p"
"hsa-miR-501-5p","hsa-miR-501-5p","MIMAT0002872","7.0","21.0","hsa-miR-501-5p"
"hsa-miR-508-3p","hsa-miR-508-3p","MIMAT0002880","7.0","21.0","hsa-miR-508-3p"
"hsa-miR-509-3p","hsa-miR-509-3p","MIMAT0002881","7.0","21.0","hsa-miR-509-3p"
"hsa-miR-515-3p","hsa-miR-515-3p","MIMAT0002827","7.0","21.0","hsa-miR-515-3p"
"hsa-miR-515-5p","hsa-miR-515-5p","MIMAT0002826","7.0","21.0","hsa-miR-515-5p"
"hsa-miR-518d-3p","hsa-miR-518d-3p","MIMAT0002864","7.0","21.0","hsa-miR-518d-3p"
"hsa-miR-518d-5p","hsa-miR-518d-5p","MIMAT0005456","10.0","21.0","hsa-miR-518d-5p"
"hsa-miR-519b-5p","hsa-miR-519b-5p","MIMAT0005454","10.0","21.0","hsa-miR-519b-5p"
"hsa-miR-520c-3p","hsa-miR-520c-3p","MIMAT0002846","7.0","21.0","hsa-miR-520c-3p"
"hsa-miR-520d-3p","hsa-miR-520d-3p","MIMAT0002856","7.0","21.0","hsa-miR-520d-3p"
"hsa-miR-520d-5p","hsa-miR-520d-5p","MIMAT0002855","7.0","21.0","hsa-miR-520d-5p"
"hsa-miR-520f","hsa-miR-520f-3p","MIMAT0002830","7.0","21.0","hsa-miR-520f-3p"
"hsa-miR-522","hsa-miR-522-3p","MIMAT0002868","7.0","21.0","hsa-miR-522-3p"
"hsa-miR-539","hsa-miR-539-5p","MIMAT0003163","8.0","21.0","hsa-miR-539-5p"
"hsa-miR-545","hsa-miR-545-3p","MIMAT0003165","8.0","21.0","hsa-miR-545-3p"
"hsa-miR-545*","hsa-miR-545-5p","MIMAT0004785","10.0","21.0","hsa-miR-545-5p"
"hsa-miR-556-3p","hsa-miR-556-3p","MIMAT0004793","10.0","21.0","hsa-miR-556-3p"
"hsa-miR-564","hsa-miR-564","MIMAT0003228","8.1","21.0","hsa-miR-564"
"hsa-miR-566","hsa-miR-566","MIMAT0003230","8.1","21.0","hsa-miR-566"
"hsa-miR-568","hsa-miR-568","MIMAT0003232","8.1","21.0","hsa-miR-568"
"hsa-miR-576-5p","hsa-miR-576-5p","MIMAT0003241","8.1","21.0","hsa-miR-576-5p"
"hsa-miR-578","hsa-miR-578","MIMAT0003243","8.1","21.0","hsa-miR-578"
"hsa-miR-581","hsa-miR-581","MIMAT0003246","8.1","21.0","hsa-miR-581"
"hsa-miR-582-5p","hsa-miR-582-5p","MIMAT0003247","8.1","21.0","hsa-miR-582-5p"
"hsa-miR-589","hsa-miR-589-3p, hsa-miR-589-5p","MIMAT0003256, MIMAT0004799","8.1, 10.0","21.0, 21.0","hsa-miR-589-3p, hsa-miR-589-5p"
"hsa-miR-601","hsa-miR-601","MIMAT0003269","8.1","21.0","hsa-miR-601"
"hsa-miR-609","hsa-miR-609","MIMAT0003277","8.1","21.0","hsa-miR-609"
"hsa-miR-613","hsa-miR-613","MIMAT0003281","8.1","21.0","hsa-miR-613"
"hsa-miR-629","hsa-miR-629-3p, hsa-miR-629-5p","MIMAT0003298, MIMAT0004810","8.1, 10.0","21.0, 21.0","hsa-miR-629-3p, hsa-miR-629-5p"
"hsa-miR-644","hsa-miR-644a","MIMAT0003314","8.1","21.0","hsa-miR-644a"
"hsa-miR-708","hsa-miR-708-5p","MIMAT0004926","10.0","21.0","hsa-miR-708-5p"
"hsa-miR-768-5p","hsa-miR-768-5p","MIMAT0003946","9.0","11.0","-"
"hsa-miR-876-3p","hsa-miR-876-3p","MIMAT0004925","10.0","21.0","hsa-miR-876-3p"
"hsa-miR-889","hsa-miR-889-3p","MIMAT0004921","10.0","21.0","hsa-miR-889-3p"
"hsa-miR-892b","hsa-miR-892b","MIMAT0004918","10.0","21.0","hsa-miR-892b"
"hsa-miR-92a-1*","hsa-miR-92a-1-5p","MIMAT0004507","10.0","21.0","hsa-miR-92a-1-5p"
"hsa-miR-942","hsa-miR-942-5p","MIMAT0004985","10.0","21.0","hsa-miR-942-5p"
"hsa-miR-98","hsa-miR-98-5p","MIMAT0000096","1.1","21.0","hsa-miR-98-5p"
