	ID	ControlType	ORGANISM	miRNA_ID	SPOT_ID	SPOT_ID_1	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-let-7a	hsa-let-7a	0	Homo sapiens	hsa-let-7a			10.3354591771429	10.3354591771429	140.376669485997	2.9901824082549605e-16	2.11797808456702e-14	25.009626348247
hsa-let-7g	hsa-let-7g	0	Homo sapiens	hsa-let-7g			9.73848343685714	9.73848343685714	133.95105597616399	4.544073497948361e-16	2.11797808456702e-14	24.837407291931502
hsa-let-7i	hsa-let-7i	0	Homo sapiens	hsa-let-7i			10.037301788571401	10.037301788571401	132.484328143243	5.01362663347697e-16	2.11797808456702e-14	24.795457110743698
hsa-miR-103	hsa-miR-103	0	Homo sapiens	hsa-miR-103			10.4707017314286	10.4707017314286	131.66300230879102	5.299968436116211e-16	2.11797808456702e-14	24.7715111776158
hsa-miR-23a	hsa-miR-23a	0	Homo sapiens	hsa-miR-23a			10.3413356071429	10.3413356071429	131.657674933241	5.30188412281297e-16	2.11797808456702e-14	24.7713547731774
hsa-miR-151-5p	hsa-miR-151-5p	0	Homo sapiens	hsa-miR-151-5p			9.264556079	9.264556079	130.88914561111	5.586482150069329e-16	2.11797808456702e-14	24.748643805160103
hsa-miR-107	hsa-miR-107	0	Homo sapiens	hsa-miR-107			9.889275153571429	9.889275153571429	129.16469847011498	6.288980623966401e-16	2.11797808456702e-14	24.6965953166562
hsa-miR-22	hsa-miR-22	0	Homo sapiens	hsa-miR-22			10.6724411871429	10.6724411871429	129.145830495244	6.29719138094513e-16	2.11797808456702e-14	24.696017347990104
hsa-miR-15b	hsa-miR-15b	0	Homo sapiens	hsa-miR-15b			10.6963231428571	10.6963231428571	128.357165946907	6.65129233139058e-16	2.11797808456702e-14	24.6716915562772
hsa-miR-21	hsa-miR-21	0	Homo sapiens	hsa-miR-21			11.677300500000001	11.677300500000001	125.329260544034	8.23188187780184e-16	2.11797808456702e-14	24.5751787539148
hsa-miR-223	hsa-miR-223	0	Homo sapiens	hsa-miR-223			11.6955920271429	11.6955920271429	125.18452795047199	8.317270443734551e-16	2.11797808456702e-14	24.5704379599272
hsa-miR-24	hsa-miR-24	0	Homo sapiens	hsa-miR-24			10.3057698542857	10.3057698542857	123.697642761077	9.25389977378464e-16	2.11797808456702e-14	24.521037441599603
hsa-let-7d	hsa-let-7d	0	Homo sapiens	hsa-let-7d			9.42685812914286	9.42685812914286	123.43776255152001	9.42935448608606e-16	2.11797808456702e-14	24.512270950360698
hsa-miR-17	hsa-miR-17	0	Homo sapiens	hsa-miR-17			9.31217614671429	9.31217614671429	121.678132989151	1.07193650337144e-15	2.2357532784604302e-14	24.4518520489608
hsa-miR-20a	hsa-miR-20a	0	Homo sapiens	hsa-miR-20a			10.1035631407143	10.1035631407143	118.025683079739	1.4072534824299601e-15	2.7394534457970004e-14	24.3202822097729
hsa-miR-92a	hsa-miR-92a	0	Homo sapiens	hsa-miR-92a			9.209776431714289	9.209776431714289	115.311355446023	1.7322339231137701e-15	3.09984673221599e-14	24.2167860991259
hsa-miR-25	hsa-miR-25	0	Homo sapiens	hsa-miR-25			8.51658584242857	8.51658584242857	114.783330993235	1.80470528930383e-15	3.09984673221599e-14	24.1960562762847
hsa-let-7f	hsa-let-7f	0	Homo sapiens	hsa-let-7f			10.1178575491429	10.1178575491429	113.73749632351499	1.95841246327449e-15	3.17698021820084e-14	24.154405339449
hsa-miR-151-3p	hsa-miR-151-3p	0	Homo sapiens	hsa-miR-151-3p			8.22028713085714	8.22028713085714	112.496615923052	2.1599695031669803e-15	3.31953207855136e-14	24.1039434363617
hsa-miR-16	hsa-miR-16	0	Homo sapiens	hsa-miR-16			10.6658973871429	10.6658973871429	108.809190960401	2.90865946964438e-15	4.24664282568079e-14	23.946994784945396
hsa-miR-331-3p	hsa-miR-331-3p	0	Homo sapiens	hsa-miR-331-3p			8.76597863828571	8.76597863828571	108.089291379489	3.08627981851409e-15	4.2913986047910204e-14	23.915077949471
hsa-miR-30d	hsa-miR-30d	0	Homo sapiens	hsa-miR-30d			9.203914939142859	9.203914939142859	105.233702203002	3.91977650810588e-15	5.2026124562132497e-14	23.7841317776512
hsa-miR-425	hsa-miR-425	0	Homo sapiens	hsa-miR-425			8.37871791685714	8.37871791685714	100.97161682533	5.66996119188589e-15	7.198385513176859e-14	23.5749552647341
hsa-miR-26a	hsa-miR-26a	0	Homo sapiens	hsa-miR-26a			9.80178872785714	9.80178872785714	99.87863231424541	6.24858447435376e-15	7.485000999979022e-14	23.5184848226822
hsa-miR-324-3p	hsa-miR-324-3p	0	Homo sapiens	hsa-miR-324-3p			7.582615004	7.582615004	99.59652558713171	6.40839126710532e-15	7.485000999979022e-14	23.503713315078897
hsa-miR-130b	hsa-miR-130b	0	Homo sapiens	hsa-miR-130b			7.81906457257143	7.81906457257143	98.8757804087085	6.8377096829473505e-15	7.679273951617799e-14	23.465602419800803
hsa-miR-185	hsa-miR-185	0	Homo sapiens	hsa-miR-185			9.03914662157143	9.03914662157143	97.77097186849899	7.55925726909728e-15	8.17519675028298e-14	23.406128309204195
hsa-let-7b	hsa-let-7b	0	Homo sapiens	hsa-let-7b			9.628096775714289	9.628096775714289	96.7956087266647	8.267102439753328e-15	8.23963064542668e-14	23.3525365195244
hsa-miR-486-5p	hsa-miR-486-5p	0	Homo sapiens	hsa-miR-486-5p			7.87420121885714	7.87420121885714	96.5458958290345	8.45996921640027e-15	8.23963064542668e-14	23.338649023117
hsa-miR-320	hsa-miR-320	0	Homo sapiens	hsa-miR-320			7.77589804871428	7.775898048714289	96.53898952748949	8.46537395078083e-15	8.23963064542668e-14	23.338263960299898
hsa-miR-126	hsa-miR-126	0	Homo sapiens	hsa-miR-126			10.1545536247143	10.1545536247143	91.9735939507302	1.3045872628962601e-14	1.22883703472809e-13	23.0717399213274
hsa-miR-27a	hsa-miR-27a	0	Homo sapiens	hsa-miR-27a			10.6267363814286	10.6267363814286	91.3700197377568	1.3835629463586202e-14	1.2625011885522398e-13	23.0346340430216
hsa-miR-93	hsa-miR-93	0	Homo sapiens	hsa-miR-93			8.35017390157143	8.35017390157143	89.846978686086	1.60755416199864e-14	1.42244186455637e-13	22.938949009916
hsa-miR-30e*	hsa-miR-30e*	0	Homo sapiens	hsa-miR-30e*			6.764891907000001	6.764891907000001	86.7743596666519	2.19310079380746e-14	1.83629193109823e-13	22.736550881715196
hsa-miR-197	hsa-miR-197	0	Homo sapiens	hsa-miR-197			8.13162189314286	8.13162189314286	86.7392597402268	2.2010348489191103e-14	1.83629193109823e-13	22.734163546276303
hsa-miR-361-5p	hsa-miR-361-5p	0	Homo sapiens	hsa-miR-361-5p			7.52709520871428	7.5270952087142895	84.5027816246814	2.77897807564267e-14	2.1833151994600604e-13	22.5783770914581
hsa-miR-28-5p	hsa-miR-28-5p	0	Homo sapiens	hsa-miR-28-5p			7.91825417442857	7.91825417442857	84.46199018059541	2.79097992649224e-14	2.1833151994600604e-13	22.5754671686158
hsa-miR-146a	hsa-miR-146a	0	Homo sapiens	hsa-miR-146a			8.67432290714286	8.67432290714286	84.2930598828557	2.84130060203706e-14	2.1833151994600604e-13	22.5633895588777
hsa-miR-98	hsa-miR-98	0	Homo sapiens	hsa-miR-98			6.98568115485714	6.98568115485714	83.40077904832991	3.12440086791863e-14	2.3375116797499397e-13	22.4988757090386
hsa-miR-106b	hsa-miR-106b	0	Homo sapiens	hsa-miR-106b			9.26302235714286	9.26302235714286	83.17163626949271	3.202070794178e-14	2.3375116797499397e-13	22.4821103871238
hsa-miR-199b-3p	hsa-miR-199b-3p	0	Homo sapiens	hsa-miR-199b-3p			10.105990313714301	10.105990313714301	82.774322154987	3.34188402743187e-14	2.38007350246367e-13	22.4528465433681
hsa-miR-30b	hsa-miR-30b	0	Homo sapiens	hsa-miR-30b			8.33704086185714	8.33704086185714	81.0826208981173	4.01815440507797e-14	2.7935740149589696e-13	22.325430265827897
hsa-miR-20b	hsa-miR-20b	0	Homo sapiens	hsa-miR-20b			7.905827015	7.905827015	80.47228700438819	4.29844492925215e-14	2.9189439984689096e-13	22.278313986334
hsa-miR-652	hsa-miR-652	0	Homo sapiens	hsa-miR-652			7.22813504685714	7.22813504685714	79.030065836048	5.0512764320341304e-14	3.2039332056972804e-13	22.1644781954386
hsa-miR-29a	hsa-miR-29a	0	Homo sapiens	hsa-miR-29a			8.16361150857143	8.16361150857143	79.0188355016578	5.0576864805138495e-14	3.2039332056972804e-13	22.1635777291289
hsa-miR-130a	hsa-miR-130a	0	Homo sapiens	hsa-miR-130a			9.719727196000001	9.719727196000001	78.95583278475999	5.0938152641937303e-14	3.2039332056972804e-13	22.158521989029
hsa-miR-221	hsa-miR-221	0	Homo sapiens	hsa-miR-221			8.57528576185714	8.57528576185714	78.6959165908467	5.2459274659523e-14	3.2039332056972804e-13	22.1375911961128
hsa-miR-148b	hsa-miR-148b	0	Homo sapiens	hsa-miR-148b			7.349591686142861	7.349591686142861	78.6610073999031	5.26673951621471e-14	3.2039332056972804e-13	22.1347709560854
hsa-miR-23b	hsa-miR-23b	0	Homo sapiens	hsa-miR-23b			8.756977192	8.756977192	75.5628367305822	7.538142687735479e-14	4.49211768330359e-13	21.875678706831398
hsa-miR-140-3p	hsa-miR-140-3p	0	Homo sapiens	hsa-miR-140-3p			7.16527040657143	7.16527040657143	75.076299710787	7.98538886556136e-14	4.66346709748783e-13	21.8333557570904
hsa-miR-324-5p	hsa-miR-324-5p	0	Homo sapiens	hsa-miR-324-5p			7.58498276742857	7.58498276742857	74.5180661181446	8.53525542950225e-14	4.886852128264039e-13	21.7842276870907
hsa-miR-27b	hsa-miR-27b	0	Homo sapiens	hsa-miR-27b			9.06683369214286	9.06683369214286	74.12782713703	8.94462712193091e-14	5.022752153084279e-13	21.749518553250198
hsa-miR-181a	hsa-miR-181a	0	Homo sapiens	hsa-miR-181a			7.75806903185714	7.75806903185714	73.058136543836	1.0183208046708501e-13	5.610371225733771e-13	21.652803986614398
hsa-miR-484	hsa-miR-484	0	Homo sapiens	hsa-miR-484			6.691882515	6.691882515	71.8506944589179	1.1815615496625502e-13	6.30291926111399e-13	21.540793761456598
hsa-miR-30c	hsa-miR-30c	0	Homo sapiens	hsa-miR-30c			7.707444132285709	7.707444132285709	71.5284308970316	1.2299099668865102e-13	6.30291926111399e-13	21.5103761690593
hsa-miR-374b	hsa-miR-374b	0	Homo sapiens	hsa-miR-374b			7.688708856	7.688708856	71.5264895465927	1.23020780910143e-13	6.30291926111399e-13	21.510192253367
hsa-miR-766	hsa-miR-766	0	Homo sapiens	hsa-miR-766			6.74790048157143	6.74790048157143	71.5254692432073	1.23036437631335e-13	6.30291926111399e-13	21.5100955906892
hsa-miR-200c	hsa-miR-200c	0	Homo sapiens	hsa-miR-200c			5.27419794828571	5.27419794828571	71.2846419953722	1.26794705604504e-13	6.38345759250261e-13	21.487216839172802
hsa-let-7c	hsa-let-7c	0	Homo sapiens	hsa-let-7c			7.338813329	7.338813329	70.6998601510579	1.3646323178853899e-13	6.753773505466689e-13	21.4311358418513
hsa-miR-128	hsa-miR-128	0	Homo sapiens	hsa-miR-128			6.29661620085714	6.29661620085714	70.3436615673771	1.4275273287297303e-13	6.94729966648469e-13	21.3966064898822
hsa-miR-744	hsa-miR-744	0	Homo sapiens	hsa-miR-744			6.0409584370000005	6.0409584370000005	70.13849567362139	1.46521271181155e-13	7.01380511227824e-13	21.3765895597965
hsa-miR-140-5p	hsa-miR-140-5p	0	Homo sapiens	hsa-miR-140-5p			8.15859000185714	8.15859000185714	69.9435376662788	1.50205040068462e-13	7.074172854837259e-13	21.3574809007804
hsa-miR-30a	hsa-miR-30a	0	Homo sapiens	hsa-miR-30a			5.88100734685714	5.88100734685714	68.9704361603932	1.70201024911055e-13	7.88868242444888e-13	21.2608083285227
hsa-miR-18a	hsa-miR-18a	0	Homo sapiens	hsa-miR-18a			7.3671185797142895	7.3671185797142895	68.6177954646538	1.7816417055543301e-13	8.12874028159163e-13	21.225234637110802
hsa-miR-486-3p	hsa-miR-486-3p	0	Homo sapiens	hsa-miR-486-3p			4.55388527442857	4.55388527442857	67.3181349348228	2.11298550015512e-13	9.492181016081461e-13	21.091577777547396
hsa-miR-199a-5p	hsa-miR-199a-5p	0	Homo sapiens	hsa-miR-199a-5p			8.649865038714289	8.649865038714289	67.03986888435371	2.19251137874587e-13	9.70020185748173e-13	21.0624293674242
hsa-miR-186	hsa-miR-186	0	Homo sapiens	hsa-miR-186			6.15723484342857	6.15723484342857	66.5143458212146	2.3519404542977e-13	1.0250247950073498e-12	21.00685834957
hsa-miR-195	hsa-miR-195	0	Homo sapiens	hsa-miR-195			5.88140164342857	5.88140164342857	66.3636871626846	2.39999300790352e-13	1.0253583223126599e-12	20.9907998505179
hsa-miR-30e	hsa-miR-30e	0	Homo sapiens	hsa-miR-30e			8.309650099857139	8.309650099857139	66.2929333759952	2.42293576162924e-13	1.0253583223126599e-12	20.9832385884356
hsa-miR-106a	hsa-miR-106a	0	Homo sapiens	hsa-miR-106a			5.50402209557143	5.50402209557143	66.107584414939	2.48420189941507e-13	1.03626707804171e-12	20.9633708736521
hsa-miR-423-5p	hsa-miR-423-5p	0	Homo sapiens	hsa-miR-423-5p			6.375289666285711	6.375289666285711	63.9820740959983	3.32479536378157e-13	1.36738062848481e-12	20.729173709982398
hsa-miR-15a	hsa-miR-15a	0	Homo sapiens	hsa-miR-15a			9.76647601028571	9.76647601028571	63.3026816669827	3.65686370401426e-13	1.48306139107245e-12	20.651769232171198
hsa-miR-505	hsa-miR-505	0	Homo sapiens	hsa-miR-505			5.53147982685714	5.53147982685714	62.9939626587204	3.8198108393978493e-13	1.5279243357591397e-12	20.6161752017166
hsa-miR-19b	hsa-miR-19b	0	Homo sapiens	hsa-miR-19b			9.952262804428571	9.952262804428571	62.5616653503578	4.06171658112542e-13	1.60273140768733e-12	20.5658842094978
hsa-miR-155	hsa-miR-155	0	Homo sapiens	hsa-miR-155			5.32173838757143	5.32173838757143	62.0439977774041	4.3740751429536293e-13	1.69217854475936e-12	20.5049633069063
hsa-miR-26b	hsa-miR-26b	0	Homo sapiens	hsa-miR-26b			9.08559465614286	9.08559465614286	61.9960998971416	4.4043003219764206e-13	1.69217854475936e-12	20.499287633786302
hsa-miR-221*	hsa-miR-221*	0	Homo sapiens	hsa-miR-221*			5.56616265828571	5.56616265828571	61.5316592077429	4.70972922115196e-13	1.7860271851641203e-12	20.4439082333992
hsa-miR-330-3p	hsa-miR-330-3p	0	Homo sapiens	hsa-miR-330-3p			5.58054448314286	5.58054448314286	61.12875969665011	4.99383665781135e-13	1.85552404857795e-12	20.3953546989706
hsa-miR-505*	hsa-miR-505*	0	Homo sapiens	hsa-miR-505*			4.85444756257143	4.85444756257143	61.092832332769696	5.020082186221161e-13	1.85552404857795e-12	20.3910017453696
hsa-miR-532-5p	hsa-miR-532-5p	0	Homo sapiens	hsa-miR-532-5p			4.75159766114286	4.75159766114286	60.21772867895639	5.70921335079788e-13	2.08386287304123e-12	20.2837772363015
hsa-miR-22*	hsa-miR-22*	0	Homo sapiens	hsa-miR-22*			5.1089625	5.1089625	58.9975679465635	6.85226111720539e-13	2.4701978348444102e-12	20.130343897069398
hsa-miR-99a	hsa-miR-99a	0	Homo sapiens	hsa-miR-99a			4.85915736828571	4.85915736828571	58.74056446832271	7.124197050500641e-13	2.53690919359291e-12	20.097427231838
hsa-miR-29c*	hsa-miR-29c*	0	Homo sapiens	hsa-miR-29c*			4.84429014042857	4.84429014042857	58.16108816575029	7.782466382975021e-13	2.7379279323237403e-12	20.0224263436312
hsa-miR-454	hsa-miR-454	0	Homo sapiens	hsa-miR-454			5.911747024571429	5.911747024571429	58.0117988749096	7.962822117001679e-13	2.7680286406720097e-12	20.0029264700797
hsa-miR-362-5p	hsa-miR-362-5p	0	Homo sapiens	hsa-miR-362-5p			5.13211907314286	5.13211907314286	57.864485464287206	8.145356498289541e-13	2.7932869740554603e-12	19.983612671372303
hsa-miR-19b-1*	hsa-miR-19b-1*	0	Homo sapiens	hsa-miR-19b-1*			4.50884860357143	4.50884860357143	57.7999333315953	8.226804101670179e-13	2.7932869740554603e-12	19.9751268119934
hsa-miR-769-5p	hsa-miR-769-5p	0	Homo sapiens	hsa-miR-769-5p			5.12621232728571	5.12621232728571	57.4743344152936	8.651669180473109e-13	2.90377862149212e-12	19.9321129054429
hsa-miR-223*	hsa-miR-223*	0	Homo sapiens	hsa-miR-223*			5.06184281271429	5.06184281271429	57.232494446138496	8.98303204673825e-13	2.98073336096315e-12	19.899934022373102
hsa-miR-196b	hsa-miR-196b	0	Homo sapiens	hsa-miR-196b			4.59834151528571	4.59834151528571	56.6780055582902	9.79735570395602e-13	3.2144133320844503e-12	19.8254045317581
hsa-miR-18b	hsa-miR-18b	0	Homo sapiens	hsa-miR-18b			6.40780456057143	6.40780456057143	56.4607341390125	1.01385509387939e-12	3.2893965268086895e-12	19.7959126976487
hsa-miR-148a	hsa-miR-148a	0	Homo sapiens	hsa-miR-148a			7.322516394285719	7.32251639428571	56.218731223077796	1.05342187468537e-12	3.3802108506387594e-12	19.7628706551473
hsa-miR-326	hsa-miR-326	0	Homo sapiens	hsa-miR-326			6.722416067999999	6.722416067999999	54.94727577781261	1.29164304543926e-12	4.09956270943767e-12	19.585858284685102
hsa-miR-125b	hsa-miR-125b	0	Homo sapiens	hsa-miR-125b			4.77229164614286	4.77229164614286	53.01847230440121	1.7759323779682902e-12	5.5726259884561796e-12	19.3059268416349
hsa-miR-361-3p	hsa-miR-361-3p	0	Homo sapiens	hsa-miR-361-3p			4.85096521571429	4.85096521571429	52.9585131145782	1.79392754422904e-12	5.5726259884561796e-12	19.2969958736334
hsa-miR-126*	hsa-miR-126*	0	Homo sapiens	hsa-miR-126*			6.466777132000001	6.466777132000001	52.8886779435904	1.8151427043778702e-12	5.57917547029829e-12	19.286576032093603
hsa-miR-338-3p	hsa-miR-338-3p	0	Homo sapiens	hsa-miR-338-3p			6.641628045	6.641628045	52.6333718448411	1.89510923580483e-12	5.76429059223968e-12	19.2483186433635
hsa-miR-142-3p	hsa-miR-142-3p	0	Homo sapiens	hsa-miR-142-3p			10.5235871532857	10.5235871532857	52.48085049546479	1.94474601784941e-12	5.85428698156729e-12	19.2253397499765
hsa-miR-29c	hsa-miR-29c	0	Homo sapiens	hsa-miR-29c			8.34716140128571	8.34716140128571	52.2038172842869	2.03864375806217e-12	6.074326299532191e-12	19.1833632239652
