"ID"	"miRNA_ID"	"SPOT_ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"hsa-miR-142-3p"	"hsa-miR-142-3p"	"hsa-miR-142-3p"	""	6.80332271366667	6.80332271366667	109.710349395144	8.59245428607303e-29	2.08066425243303e-26	54.0865880058869
"hsa-miR-223"	"hsa-miR-223"	"hsa-miR-223"	""	6.95140315983334	6.95140315983333	106.600705664944	1.50772771915437e-28	2.08066425243303e-26	53.6754347957654
"hsa-miR-194"	"hsa-miR-194"	"hsa-miR-194"	""	-5.3764811845	-5.3764811845	-81.8787418677343	2.61789970308456e-26	2.40846772683779e-24	49.5958966439939
"hsa-miR-24"	"hsa-miR-24"	"hsa-miR-24"	""	3.95055984922222	3.95055984922222	78.7655261646838	5.58150133983906e-26	3.85123592448895e-24	48.9550480598157
"SNORD38B"	"SNORD38B"	""	"control"	6.48465137722222	6.48465137722222	73.6188683518835	2.0880025473826e-25	1.15257740615519e-23	47.8160742404519
"hsa-miR-215"	"hsa-miR-215"	"hsa-miR-215"	""	-5.53379599005556	-5.53379599005556	-72.397029507606	2.89468561231532e-25	1.33155538166505e-23	47.5299292925973
"hsa-let-7f"	"hsa-let-7f"	"hsa-let-7f"	""	3.33097299277778	3.33097299277778	68.9491426984116	7.50141929387885e-25	2.95770246444366e-23	46.6870113134536
"hsa-miR-15b"	"hsa-miR-15b"	"hsa-miR-15b"	""	3.17812379822222	3.17812379822222	66.0941102180848	1.71165303479724e-24	5.90520297005047e-23	45.9466345468671
"hsa-miR-103"	"hsa-miR-103"	"hsa-miR-103"	""	4.49302514211111	4.49302514211111	65.5089096409038	2.03584294697283e-24	6.24325170405e-23	45.7898268435033
"hsa-miR-15a"	"hsa-miR-15a"	"hsa-miR-15a"	""	4.14387785377778	4.14387785377778	61.9184208544821	6.11012876856788e-24	1.68639554012474e-22	44.7875011925909
"hsa-miR-126"	"hsa-miR-126"	"hsa-miR-126"	""	4.71419273383333	4.71419273383333	60.5198988018822	9.53728233055594e-24	2.22181697869745e-22	44.3773062229264
"hsa-miR-23b"	"hsa-miR-23b"	"hsa-miR-23b"	""	3.98828748027778	3.98828748027778	60.0159521441741	1.12251360460609e-23	2.22181697869745e-22	44.22662414015
"hsa-miR-98"	"hsa-miR-98"	"hsa-miR-98"	""	-4.79074858561111	-4.79074858561111	-59.9166067785929	1.15934211878133e-23	2.22181697869745e-22	44.1967362491178
"hsa-miR-23a"	"hsa-miR-23a"	"hsa-miR-23a"	""	4.3456852705	4.3456852705	59.9109693235201	1.16146969591335e-23	2.22181697869745e-22	44.1950384092137
"hsa-miR-16"	"hsa-miR-16"	"hsa-miR-16"	""	4.54731611805556	4.54731611805556	59.1671251862459	1.48159240643156e-23	2.40540884808889e-22	43.9692835032755
"hsa-miR-19a"	"hsa-miR-19a"	"hsa-miR-19a"	""	4.72212684861111	4.72212684861111	58.9385100556002	1.59766459718592e-23	2.44975238235174e-22	43.8992022218009
"hsa-miR-30b"	"hsa-miR-30b"	"hsa-miR-30b"	""	3.75561482923529	3.75561482923529	66.7661709844103	1.34173743995496e-23	2.31449708392231e-22	43.8648056135104
"hsa-let-7g"	"hsa-let-7g"	"hsa-let-7g"	""	3.23583378416667	3.23583378416667	58.3326329674465	1.95393358270364e-23	2.83834562540107e-22	43.7118604172923
"hsa-miR-576-5p"	"hsa-miR-576-5p"	"hsa-miR-576-5p"	""	-7.56447450275	-7.56447450275	-76.5182543566968	1.20750922755296e-23	2.22181697869745e-22	43.6092048170344
"hsa-miR-19b"	"hsa-miR-19b"	"hsa-miR-19b"	""	5.54280457327778	5.54280457327778	55.6530527174854	4.88250494926354e-23	6.73785682998368e-22	42.8541604891386
"hsa-miR-130b"	"hsa-miR-130b"	"hsa-miR-130b"	""	-4.08303381672222	-4.08303381672222	-54.0218884822582	8.71228603926891e-23	1.1450433080182e-21	42.3074679512727
"hsa-miR-20a"	"hsa-miR-20a"	"hsa-miR-20a"	""	4.76864921616667	4.76864921616667	52.783412618744	1.36815924521167e-22	1.71641796217465e-21	41.8791673993321
"hsa-miR-17"	"hsa-miR-17"	"hsa-miR-17"	""	3.99482862661111	3.99482862661111	51.938640690179	1.87263646993594e-22	2.24716376392313e-21	41.5801880140402
"hsa-miR-106a"	"hsa-miR-106a"	"hsa-miR-106a"	""	3.92527125155556	3.92527125155556	50.666331107623	3.0334935890405e-22	3.39360934100422e-21	41.1190133074237
"hsa-miR-651"	"hsa-miR-651"	"hsa-miR-651"	""	-6.40896687716667	-6.40896687716667	-50.6318477934292	3.07392150453281e-22	3.39360934100422e-21	41.106327301775
"hsa-miR-135a"	"hsa-miR-135a"	"hsa-miR-135a"	""	-7.05590017952941	-7.05590017952941	-54.903796945073	5.00150416685902e-22	5.30928903866573e-21	40.5619738772319
"hsa-miR-421"	"hsa-miR-421"	"hsa-miR-421"	""	-4.20926421755556	-4.20926421755556	-47.4885636318655	1.06830097038638e-21	1.09204099195052e-20	39.9061855313488
"hsa-miR-330-3p"	"hsa-miR-330-3p"	"hsa-miR-330-3p"	""	-5.07691941877778	-5.07691941877778	-47.1641772590912	1.22044496188629e-21	1.20301003385935e-20	39.7771792381734
"hsa-miR-200b"	"hsa-miR-200b"	"hsa-miR-200b"	""	-7.53306027994118	-7.53306027994118	-51.5487078411108	1.60303233513383e-21	1.52564456723082e-20	39.4651733385867
"hsa-miR-93"	"hsa-miR-93"	"hsa-miR-93"	""	2.82176844272222	2.82176844272222	43.5594264769621	5.71174753671311e-21	5.25480773377606e-20	38.2724062693023
"hsa-miR-505"	"hsa-miR-505"	"hsa-miR-505"	""	-2.74524690472222	-2.74524690472222	-42.7750732739121	8.12467047936761e-21	7.23357758808213e-20	37.9265278216256
"hsa-miR-744"	"hsa-miR-744"	"hsa-miR-744"	""	-4.21035341838889	-4.21035341838889	-42.5975162392897	8.807058219859e-21	7.59608771462838e-20	37.8472544099041
"hsa-miR-491-5p"	"hsa-miR-491-5p"	"hsa-miR-491-5p"	""	-4.29158335294118	-4.29158335294118	-46.6860609424295	9.97513591580772e-21	8.17530349784652e-20	37.7162476768122
