	GSM1287710	GSM1287711	GSM1287712	GSM1287713	GSM1287714	GSM1287715	GSM1287716	GSM1287717	GSM1287719	GSM1287721	GSM1287723	GSM1287724	GSM1287726	GSM1287728	GSM1287730	GSM1287731	GSM1287732	GSM1287733
hsa-let-7a	4.088329911	4.042278024	3.363352985	4.056901556	4.304502702	3.199543245	3.461868921	4.084219896	3.874013176	4.560848452	4.419693702	4.524616618	2.06218639	4.348508981	4.334002649	4.16864059	3.752349203	3.751707686
hsa-let-7b	0.711844035	0.95867043	0.437075418	0.83656638	1.30410015	1.356280902	0.369536533	0.981205826	0.835475627	1.145929293	1.201201163	1.483154804	1.848338261	1.255286595	0.981659037	1.597729456	1.22579777	1.829046624
hsa-let-7c	1.216962586	1.357995241	1.248889712	1.381575152	1.67087026	1.07849349	0.882674823	1.309234682	1.230296542	1.203235119	1.261876344	1.692062521	1.589173122	1.462350295	1.635019655	1.828163591	1.39910135	1.680090727
hsa-let-7d	0.055047443	0.086094186	-0.071378634	-0.321727379	-0.385293672	-0.184285992	0.002869941	-0.328170083	-0.037523974	-0.280926966	-0.31574645	-0.525192177	-0.519091235	-0.221461628	-0.031970239	0.002064328	-0.213895707	-0.426360194
hsa-let-7d*	-0.437629453	-0.486805012	-0.677817192	-1.09176357	-0.511795388	-0.221093181	-0.661624652	-0.605190623	-0.730869309	-0.482219864	-0.740988726	-0.690073899	-0.759036493	-0.598259328	-0.446700211	-0.433439188	-0.563718223	-0.68766359
hsa-let-7e	-1.323262689	-1.2806828	-1.972036923	-0.927550996	-1.113407835	-1.667948937	-1.118807095	-1.665387852	-1.098385011	-1.691191243	-1.61515873	-1.099380201	-1.312880727	-0.919169563	-0.656839801	-1.80695116	-1.628610154	-1.4006604
hsa-let-7f	3.422943484	3.509553962	3.205823969	3.466075073	3.532442868	3.113446213	3.072082078	3.288142056	3.284504704	3.346342568	3.347711997	3.503701368	3.400722915	3.309538952	3.300288411	3.297740476	3.306189339	3.250263437
hsa-let-7g	3.006230102	3.169843841	3.098658753	3.374566628	3.586710405	3.334118508	2.90914724	3.375306279	3.040748729	3.477033807	3.258070485	3.376723294	3.380510166	3.296534723	3.086180577	3.19824635	3.10716529	3.169212938
hsa-let-7i	1.133581746	1.085849177	0.934716081	0.922327572	0.586676897	0.925386711	0.931094793	1.089527562	0.856527389	0.645501312	0.637994439	0.521376463	0.522994193	0.459341526	0.802295852	1.138660084	0.405761809	0.663952633
hsa-miR-1	-3.939345192	-3.502996036	-2.639659389	-2.472670653	-4.740600129	-1.635780035	-2.769925863	-3.175946513	-2.228628106	-4.811726363	-3.533394045	-5.672919374	-3.02848261	-4.244774831	-4.733981245	-5.616932008	-2.984114151	-2.758831079
hsa-miR-100	-8.454324269	-7.117665602	NA	-6.089730681	-7.776966515	NA	NA	-7.191178717	-8.973936897	-6.184044368	-7.232008883	-6.811231915	-4.548926776	-5.948445343	NA	NA	-6.45328185	NA
hsa-miR-103	4.757807184	5.046772831	4.336364124	4.76860724	4.498441316	4.350558487	4.759479669	4.703790957	4.622606203	4.575481247	4.368410553	4.191876491	4.256020846	4.399640746	4.545790515	4.399696274	4.311537075	3.9815708
hsa-miR-106a	3.739761488	3.567144386	3.562662745	3.868385293	4.626335321	3.822065225	3.715146572	3.684660028	3.557951467	4.006554465	3.917078501	4.207245001	4.340356099	4.086301408	3.602584274	4.145231609	3.97055228	4.234866366
