	ID	miRNA_ID	SPOT_ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-142-3p	hsa-miR-142-3p	hsa-miR-142-3p		6.80332271366667	6.80332271366667	109.71034939514401	8.592454286073029e-29	2.0806642524330298e-26	54.086588005886895
hsa-miR-223	hsa-miR-223	hsa-miR-223		6.9514031598333395	6.95140315983333	106.600705664944	1.50772771915437e-28	2.0806642524330298e-26	53.6754347957654
hsa-miR-194	hsa-miR-194	hsa-miR-194		-5.3764811845	-5.3764811845	-81.8787418677343	2.61789970308456e-26	2.4084677268377898e-24	49.5958966439939
hsa-miR-24	hsa-miR-24	hsa-miR-24		3.9505598492222203	3.9505598492222203	78.7655261646838	5.58150133983906e-26	3.85123592448895e-24	48.9550480598157
SNORD38B	SNORD38B		control	6.48465137722222	6.48465137722222	73.61886835188349	2.0880025473826e-25	1.1525774061551899e-23	47.8160742404519
hsa-miR-215	hsa-miR-215	hsa-miR-215		-5.53379599005556	-5.53379599005556	-72.397029507606	2.8946856123153195e-25	1.33155538166505e-23	47.529929292597295
hsa-let-7f	hsa-let-7f	hsa-let-7f		3.3309729927777796	3.3309729927777796	68.94914269841159	7.50141929387885e-25	2.95770246444366e-23	46.687011313453596
hsa-miR-15b	hsa-miR-15b	hsa-miR-15b		3.17812379822222	3.17812379822222	66.0941102180848	1.71165303479724e-24	5.90520297005047e-23	45.9466345468671
hsa-miR-103	hsa-miR-103	hsa-miR-103		4.49302514211111	4.49302514211111	65.5089096409038	2.0358429469728298e-24	6.24325170405e-23	45.78982684350329
hsa-miR-15a	hsa-miR-15a	hsa-miR-15a		4.14387785377778	4.14387785377778	61.9184208544821	6.11012876856788e-24	1.68639554012474e-22	44.787501192590895
hsa-miR-126	hsa-miR-126	hsa-miR-126		4.714192733833331	4.714192733833331	60.5198988018822	9.537282330555939e-24	2.2218169786974497e-22	44.3773062229264
hsa-miR-23b	hsa-miR-23b	hsa-miR-23b		3.98828748027778	3.98828748027778	60.0159521441741	1.12251360460609e-23	2.2218169786974497e-22	44.22662414015
hsa-miR-98	hsa-miR-98	hsa-miR-98		-4.7907485856111105	-4.7907485856111105	-59.9166067785929	1.15934211878133e-23	2.2218169786974497e-22	44.19673624911779
hsa-miR-23a	hsa-miR-23a	hsa-miR-23a		4.3456852705	4.3456852705	59.9109693235201	1.16146969591335e-23	2.2218169786974497e-22	44.19503840921371
hsa-miR-16	hsa-miR-16	hsa-miR-16		4.5473161180555595	4.5473161180555595	59.1671251862459	1.48159240643156e-23	2.40540884808889e-22	43.9692835032755
hsa-miR-19a	hsa-miR-19a	hsa-miR-19a		4.7221268486111105	4.7221268486111105	58.938510055600204	1.5976645971859198e-23	2.44975238235174e-22	43.8992022218009
