SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	0.475047	5.58277	0
NC1_00000197	-1	10.3592	13.7917	0
NC1_00000215	-1	8.1394	13.7597	0
NC2_00079215	-1	-0.237604	13.7101	0
NC2_00092197	-1	4.95941	13.7255	0
NC2_00106057	-1	9.70485	13.7596	0
NC2_00122731	-1	0.800204	13.7138	0
NegativeControl	-1	-15.7557	61.6323	0
SCorner3	1	1.52618	1.09021	0
dmr_285	1	-1.98398	3.02694	0
dmr_3	1	-1.59957	3.02656	0
dmr_308	1	-0.284827	3.02944	0
dmr_316	1	1.14168	3.03017	0
dmr_31a	1	-1.87225	3.02416	0
dmr_6	1	3.47996	3.04347	0
ebv-miR-BART1-3p	0	1.60613	1.71649	0
ebv-miR-BART1-5p	0	-0.532132	1.71147	0
ebv-miR-BART10	0	-1.2213	1.71154	0
ebv-miR-BART10*	0	1.66334	1.71513	0
ebv-miR-BART11-3p	0	-0.710526	1.71282	0
ebv-miR-BART11-5p	0	0.26617	1.71508	0
ebv-miR-BART12	0	1040.85	53.1554	1
ebv-miR-BART13	0	3.33938	2.44521	0
ebv-miR-BART13*	0	-1.67806	1.71164	0
ebv-miR-BART14	0	-2.11232	1.71056	0
ebv-miR-BART14*	0	-1.16756	1.71169	0
ebv-miR-BART15	0	2.98612	1.72326	0
ebv-miR-BART16	0	7.03053	1.76974	1
ebv-miR-BART17-3p	0	2.62694	1.72561	0
ebv-miR-BART17-5p	0	-4.18725	1.71043	0
ebv-miR-BART18-3p	0	-0.771008	1.71216	0
ebv-miR-BART18-5p	0	1.05324	1.71939	0
ebv-miR-BART19-3p	0	-0.772043	1.71207	0
ebv-miR-BART19-5p	0	-2.37356	1.71075	0
ebv-miR-BART2-3p	0	-3.15314	1.71525	0
ebv-miR-BART2-5p	0	0.122309	1.71331	0
ebv-miR-BART20-3p	0	-2.47917	1.71137	0
ebv-miR-BART20-5p	0	-0.139455	1.71209	0
ebv-miR-BART3	0	-1.952	1.71106	0
ebv-miR-BART3*	0	0.606547	1.71682	0
ebv-miR-BART4	0	0.817884	1.61669	0
ebv-miR-BART5	0	-1.6221	1.71078	0
ebv-miR-BART6-3p	0	-1.15149	1.71434	0
ebv-miR-BART6-5p	0	-1.53233	1.71078	0
ebv-miR-BART7	0	-0.963306	1.71237	0
ebv-miR-BART7*	0	-0.590109	1.7165	0
ebv-miR-BART8	0	0.0946199	1.73693	0
ebv-miR-BART8*	0	-2.47482	1.71046	0
ebv-miR-BART9	0	0.0487765	1.71221	0
ebv-miR-BART9*	0	-0.745117	1.71282	0
ebv-miR-BHRF1-1	0	2.16742	1.72862	0
ebv-miR-BHRF1-2	0	-3.36587	1.71214	0
ebv-miR-BHRF1-2*	0	-3.10048	1.7106	0
ebv-miR-BHRF1-3	0	-3.96874	1.71065	0
hcmv-miR-UL112	0	-1.45762	1.71643	0
hcmv-miR-UL148D	0	3.65577	1.72941	0
hcmv-miR-UL22A	0	-1.76198	1.71058	0
hcmv-miR-UL22A*	0	-2.00398	1.71105	0
hcmv-miR-UL36	0	-2.99391	1.71047	0
hcmv-miR-UL36*	0	-0.728758	1.71413	0
