SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	0.752108	5.04823	0
NC1_00000197	-1	-0.750386	12.3948	0
NC1_00000215	-1	14.1253	12.5287	0
NC2_00079215	-1	-2.59781	12.3836	0
NC2_00092197	-1	1.09793	12.4093	0
NC2_00106057	-1	5.53999	12.4108	0
NC2_00122731	-1	0.583878	12.4053	0
NegativeControl	-1	-6.90482	55.7694	0
SCorner3	1	0.0098419	0.968778	0
dmr_285	1	-2.52561	2.73503	0
dmr_3	1	-1.27266	2.73658	0
dmr_308	1	-0.291018	2.73812	0
dmr_316	1	-0.154633	2.73969	0
dmr_31a	1	-3.00314	2.73555	0
dmr_6	1	2.97037	2.75156	0
ebv-miR-BART1-3p	0	-0.907927	1.54718	0
ebv-miR-BART1-5p	0	-0.808538	1.54861	0
ebv-miR-BART10	0	1.90582	1.55525	0
ebv-miR-BART10*	0	0.231315	1.54923	0
ebv-miR-BART11-3p	0	-1.31528	1.5481	0
ebv-miR-BART11-5p	0	0.691748	1.55001	0
ebv-miR-BART12	0	1754.78	89.5456	1
ebv-miR-BART13	0	7.90251	2.2951	1
ebv-miR-BART13*	0	-1.05993	1.54861	0
ebv-miR-BART14	0	-2.51751	1.54705	0
ebv-miR-BART14*	0	-1.57024	1.54733	0
ebv-miR-BART15	0	1.47513	1.55339	0
ebv-miR-BART16	0	5.94527	1.60589	1
ebv-miR-BART17-3p	0	-0.0779289	1.55009	0
ebv-miR-BART17-5p	0	-2.49409	1.54747	0
ebv-miR-BART18-3p	0	-1.04523	1.54781	0
ebv-miR-BART18-5p	0	-0.583834	1.54874	0
ebv-miR-BART19-3p	0	0.551175	1.55091	0
ebv-miR-BART19-5p	0	-2.18332	1.54734	0
ebv-miR-BART2-3p	0	-0.247964	1.54849	0
ebv-miR-BART2-5p	0	-0.648309	1.54906	0
ebv-miR-BART20-3p	0	-1.69347	1.54815	0
ebv-miR-BART20-5p	0	-0.297741	1.54846	0
ebv-miR-BART3	0	-1.09207	1.54729	0
ebv-miR-BART3*	0	2.0345	1.55702	0
ebv-miR-BART4	0	1.03376	1.46378	0
ebv-miR-BART5	0	-2.34332	1.54725	0
ebv-miR-BART6-3p	0	-1.40235	1.54758	0
ebv-miR-BART6-5p	0	-2.72507	1.54702	0
ebv-miR-BART7	0	-1.18279	1.54906	0
ebv-miR-BART7*	0	-0.698861	1.54901	0
ebv-miR-BART8	0	2.42774	1.59365	0
ebv-miR-BART8*	0	-1.70053	1.5484	0
ebv-miR-BART9	0	-1.37234	1.54712	0
ebv-miR-BART9*	0	-2.28849	1.54787	0
ebv-miR-BHRF1-1	0	-0.487813	1.55351	0
ebv-miR-BHRF1-2	0	-1.08007	1.56527	0
ebv-miR-BHRF1-2*	0	-1.64189	1.54803	0
ebv-miR-BHRF1-3	0	-1.67203	1.54814	0
hcmv-miR-UL112	0	-0.113928	1.55159	0
hcmv-miR-UL148D	0	-0.247618	1.55276	0
hcmv-miR-UL22A	0	-1.71071	1.54743	0
hcmv-miR-UL22A*	0	-1.23453	1.54846	0
hcmv-miR-UL36	0	0.581096	1.61881	0
hcmv-miR-UL36*	0	-0.606056	1.54834	0
hcmv-miR-UL70-3p	0	5.47216	2.22507	0
hcmv-miR-UL70-5p	0	-1.2687	1.54893	0
hcmv-miR-US25-1	0	-0.984168	1.54945	0
hcmv-miR-US25-1*	0	0.170243	1.54978	0
hcmv-miR-US25-2-3p	0	-1.61785	1.54792	0
hcmv-miR-US25-2-5p	0	-1.34074	1.5485	0
hcmv-miR-US33-3p	0	-1.51338	1.54727	0
hcmv-miR-US33-5p	0	0.149004	1.55185	0
hcmv-miR-US4	0	-0.84777	1.54922	0
hcmv-miR-US5-1	0	-1.57453	1.54922	0
hcmv-miR-US5-2	0	-1.81521	1.54807	0
hiv1-miR-H1	0	-1.63431	2.1882	0
hiv1-miR-N367	0	0.212569	1.54946	0
hsa-let-7a	0	26725.5	2084.71	1
hsa-let-7a*	0	0.536839	1.55347	0
hsa-let-7b	0	13681.9	1096.14	1
hsa-let-7b*	0	5.96647	1.588	1
hsa-let-7c	0	1335.57	123.141	1
hsa-let-7c*	0	-1.06643	1.54829	0
hsa-let-7d	0	11072.2	930.17	1
hsa-let-7d*	0	171.053	14.9666	1
hsa-let-7e	0	1683.77	137.699	1
hsa-let-7e*	0	1.67936	1.55771	0
hsa-let-7f	0	20929.4	1845.52	1
hsa-let-7f-1*	0	3.46765	1.56408	0
hsa-let-7f-2*	0	1.05791	1.55974	0
hsa-let-7g	0	15626.5	1316.63	1
hsa-let-7g*	0	-0.623985	1.55044	0
hsa-let-7i	0	19591.2	1467.8	1
hsa-let-7i*	0	-0.263991	1.54977	0
hsa-miR-1	0	23.0304	3.12215	1
hsa-miR-100	0	33.9499	3.72749	1
hsa-miR-100*	0	0.711069	1.55273	0
hsa-miR-101	0	833.41	64.1489	1
hsa-miR-101*	0	2.00384	1.80142	0
hsa-miR-103	0	32165.9	2742.16	1
hsa-miR-105	0	-0.549041	1.54898	0
hsa-miR-105*	0	-0.114607	1.54905	0
hsa-miR-106a	0	210.278	14.7724	1
hsa-miR-106a*	0	-0.653895	1.55003	0
hsa-miR-106b	0	7419.3	603.407	1
hsa-miR-106b*	0	6.85724	1.73187	1
hsa-miR-107	0	18405.8	1465.45	1
hsa-miR-10a	0	261.213	21.0742	1
hsa-miR-10a*	0	0.456913	1.55288	0
hsa-miR-10b	0	11.6217	2.38542	1
hsa-miR-10b*	0	-1.12431	2.18794	0
hsa-miR-122	0	-0.864953	2.1891	0
hsa-miR-122*	0	-0.926456	2.18791	0
hsa-miR-1224-3p	0	-0.612283	1.54891	0
hsa-miR-1224-5p	0	4.38655	1.57129	0
hsa-miR-1225-3p	0	7.05932	1.59389	1
hsa-miR-1225-5p	0	86.9974	4.68905	1
hsa-miR-1226	0	1.3572	1.57671	1
hsa-miR-1226*	0	-0.319396	1.55068	0
hsa-miR-1227	0	13.5505	1.8451	1
hsa-miR-1228	0	25.2587	2.01256	1
hsa-miR-1228*	0	-0.160598	1.54953	0
hsa-miR-1229	0	7.51789	1.60896	1
hsa-miR-1231	0	-1.48596	1.54768	0
hsa-miR-1233	0	-2.52793	1.54866	0
hsa-miR-1234	0	123.996	8.34402	1
hsa-miR-1236	0	-1.64281	1.54852	0
hsa-miR-1237	0	2.43376	1.56084	0
hsa-miR-1238	0	8.76932	1.6142	1
hsa-miR-124	0	2.21639	1.80768	0
hsa-miR-124*	0	-0.738221	1.54798	0
hsa-miR-125a-3p	0	12.6452	1.96849	1
hsa-miR-125a-5p	0	885.771	81.2833	1
hsa-miR-125b	0	154.318	14.826	1
hsa-miR-125b-1*	0	1.96398	1.57152	0
hsa-miR-125b-2*	0	0.245076	2.1914	0
hsa-miR-126	0	17722.4	1458.57	1
hsa-miR-126*	0	434.513	37.688	1
hsa-miR-127-3p	0	81.6487	7.15517	1
