# The difference in normalized Cps (??Cp) between two sample groups.			
# reports the difference in normalized Cps (??Cp) between two sample groups.

ID_REF	(Avereage Sampe 5-9)-(Average Sample 1-4) 	(Avereage Sampe 10-13)-(Average Sample 1-4) 	(Avereage Sampe 14-18)-(Average Sample 1-4) 
hsa-miR-223	-0.024141744	-0.064751586	-0.139039383
hsa-miR-142-3p	-0.037238628	0.000616227	-0.039512292
SNORD38B	-0.011167601	0.327106228	-0.036994289
hsa-miR-19b	0.228959189	0.564549285	0.429980216
hsa-miR-20a	0.217462057	0.518406003	0.421593589
hsa-miR-19a	0.12682515	0.363843758	0.265242925
hsa-miR-126	-0.023566617	-0.250962523	-0.232026934
hsa-miR-92a	0.185287259	0.678837255	0.565287787
hsa-miR-103	-0.140412518	-0.379440561	-0.399740763
hsa-miR-16	0.221915822	0.19637961	0.190064805
hsa-miR-23a	-0.145197518	-0.525741324	-0.39489789
hsa-miR-21	0.041162637	-0.476145337	-0.080044116
hsa-miR-1979	0.252429169	0.837300483	0.94508053
hsa-miR-15a	0.192340657	0.248195474	0.112151423
hsa-miR-17	0.195340391	0.39526527	0.303579207
hsa-miR-23b	-0.088609842	-0.370863736	-0.408744175
hsa-let-7a	-0.102886031	0.004120672	0.183326203
hsa-miR-24	0.046117746	-0.169538808	-0.11221581
hsa-miR-106a	0.196743244	0.433320039	0.32341871
hsa-miR-181a	0.10479448	1.217041148	0.867186354
hsa-miR-720	0.458185996	0.803413383	1.039104633
hsa-let-7f	-0.142975538	-0.001479409	-0.108294999
hsa-let-7g	0.086881401	0.210759607	0.009143144
hsa-miR-15b	-0.005227773	-0.01057652	-0.081731802
hsa-miR-107	-0.223197577	-0.455123048	-0.250712273
hsa-miR-93	0.104796605	0.377774704	0.233524671
hsa-miR-221	-0.072595075	-0.413224974	-0.454152072
hsa-miR-150	-0.601603446	-0.405526503	-0.285130106
hsa-miR-320a	0.192557606	0.116887628	0.154731317
hsa-miR-222	0.256300555	0.719552719	0.494858815
hsa-miR-423-3p	0.105363122	0.141922357	0.052944861
hsa-miR-30e	-0.193497286	0.030629516	-0.126755405
hsa-miR-142-5p	-0.052425283	-0.443161339	-0.398093356
hsa-miR-191	-0.129487557	-0.313573936	-0.203756471
hsa-miR-484	-0.047695879	-0.346222831	-0.288208366
hsa-miR-125a-5p	0.293251295	0.586173454	0.541753604
hsa-miR-185	-0.073899968	-0.677354165	-0.476282172
hsa-let-7c	-0.067041714	0.135231103	0.29958945
hsa-miR-151-5p	-0.512388511	-1.225933816	-1.109005314
hsa-miR-26b	-0.085405571	-0.207672708	-0.193156132
hsa-let-7b	0.233280742	0.683616815	0.641864831
hsa-miR-342-3p	-0.12147847	0.15080466	0.003586809
hsa-miR-106b	0.048543145	0.25139155	0.194054958
hsa-miR-199a-5p	-0.391068989	-1.383510601	-1.370466733
hsa-miR-155	0.500319574	1.304246156	1.002189555
hsa-let-7i	-0.141275974	-0.437152043	-0.325116263
hsa-miR-425	-0.027903548	-0.186814263	-0.132297834
hsa-miR-29c	-0.189828728	-0.386829438	-0.236921425
hsa-miR-125b	0.421379703	1.374926198	0.94362125
