ID_REF	SAMPLE 1	SAMPLE 2	SAMPLE 3	SAMPLE 4	SAMPLE 5	SAMPLE 6	SAMPLE 7	SAMPLE 8	SAMPLE 9	SAMPLE 10	SAMPLE 11	SAMPLE 12	SAMPLE 13	SAMPLE 14	SAMPLE 15	SAMPLE 16	SAMPLE 17	SAMPLE 18
ID_REF	SAMPLE 1	SAMPLE 2	SAMPLE 3	SAMPLE 4	SAMPLE 5	SAMPLE 6	SAMPLE 7	SAMPLE 8	SAMPLE 9	SAMPLE 10	SAMPLE 11	SAMPLE 12	SAMPLE 13	SAMPLE 14	SAMPLE 15	SAMPLE 16	SAMPLE 17	SAMPLE 18
design_target_name	Healthy-control				sCAD					STEMI d0				STEMI d5
hsa-miR-223	21.44114457	19.85898168	21.29237401	20.8109762	21.27927263	21.97552333	20.93608183	21.51032306	20.54814518	21.75698978	21.05902609	22.33131144	22.50935525	20.95173965	20.75982964	20.96623495	22.33354354	22.5366236
hsa-miR-142-3p	21.77900703	20.07504722	21.29031656	21.00556572	21.91836178	22.05393434	21.26636067	21.36844183	20.6408069	22.24320804	21.01945829	22.218389	22.66061605	21.08727415	20.69362139	21.30795802	22.45544326	22.43911419
SNORD38B	21.83340288	21.19557963	21.52921955	21.18839873	21.45741569	22.31396838	22.04215597	21.88568215	21.41415853	22.08794961	21.66423772	21.90296394	22.77722437	22.01791279	21.10420549	21.74746058	22.42587046	22.671202
hsa-miR-19b	23.00223195	21.99768251	22.86721366	22.6435885	21.82102446	23.10556653	23.05100356	23.4581791	22.4321179	23.59557963	22.35358841	23.15669712	23.14085407	22.47140841	22.49975562	22.23639547	23.44087299	22.93849108
hsa-miR-20a	23.77661206	22.70764294	23.60565516	23.45431857	22.69906326	24.12047083	23.67588921	24.05218273	23.16966131	24.44817333	23.15881668	23.85954941	23.99826506	23.1905873	23.25631919	22.95237661	24.281022	23.74044174
hsa-miR-19a	23.75185446	22.56709331	23.47574727	23.52380386	22.93959058	24.03509474	23.78887811	24.14040295	22.98432321	24.55718532	23.25132797	24.04093312	24.00787722	23.49980541	23.27769841	23.10306221	24.31320465	23.7265672
hsa-miR-126	23.61972079	21.84829655	23.50721137	23.10888816	23.28729647	24.69177514	22.5791445	23.92425533	22.61479945	24.72664571	23.29050227	24.51349618	24.55152254	23.41501772	22.84935146	23.87802455	24.28039625	24.44091965
hsa-miR-92a	24.037637	23.19012252	24.02475767	23.90292883	22.94604216	24.47087185	24.24274951	24.53289184	23.69960758	24.68822927	23.57977513	24.11677044	24.04952192	23.63285224	23.5730538	23.12784907	24.47873313	23.90380923
hsa-miR-103	23.54589594	21.95773837	23.79330962	23.24146312	23.74881788	24.48018143	23.24111379	23.85593851	22.92331152	24.62654247	23.56313633	24.82417912	25.03651112	23.73519079	23.11431279	23.70928228	24.7664629	24.94489275
hsa-miR-16	23.72630919	23.01814963	23.31874948	23.82780156	23.26135627	24.42911967	23.84213573	23.55856453	23.03729874	24.34173039	23.48244776	24.452581	24.82293202	23.30672816	23.26555903	23.42809873	24.9040265	24.10745475
hsa-miR-23a	23.77566788	22.04382884	23.60026499	23.57802401	23.79104246	24.58642941	23.53070143	23.98228383	22.95705433	25.29069411	23.62770149	24.67900595	25.49754922	23.82357726	23.29245093	23.75769926	24.97575145	24.97067157
hsa-miR-21	24.03674572	22.24687613	23.56028548	23.66577515	24.8218206	24.10657178	23.31774116	23.44692988	22.86251822	24.55045943	23.97397688	25.20098976	25.68303752	23.65389207	22.45963236	22.56064582	25.35904721	25.8525351
hsa-miR-1979	24.61565335	23.71499139	24.70035136	24.66586706	24.28684373	24.69783263	24.70368885	24.45822912	24.58663049	24.97996065	23.91162885	24.52687754	24.92339394	23.96236159	23.23555554	23.56881078	25.11407023	24.11330702
