"ID"	"Gene.title"	"Gene.symbol"	"Gene.ID"	"UniGene.title"	"UniGene.symbol"	"UniGene.ID"	"Nucleotide.Title"	"GI"	"GenBank.Accession"	"Platform_CLONEID"	"Platform_ORF"	"Platform_SPOTID"	"Chromosome.location"	"Chromosome.annotation"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"8084213"	8084213	""	""	""	""	""	""	""	""	""	NA	NA	"chr3:183169645-183169776"	""	""	""	""	""	""	""	""	-1.66398166666667	6.63076285714286	-21.5471066779242	2.41746253581846e-39	8.04942500551471e-35	77.5789864225966
"8000738"	8000738	"potassium channel tetramerization domain containing 13"	"KCTD13"	"253980"	""	""	""	"Homo sapiens potassium channel tetramerization domain containing 13 (KCTD13), transcript variant 1, mRNA///Homo sapiens potassium channel tetramerization domain containing 13 (KCTD13), transcript variant 2, non-coding RNA///Homo sapiens polymerase delta-interacting protein 1 mRNA, complete cds///Homo sapiens potassium channel tetramerisation domain containing 13, mRNA (cDNA clone MGC:39734 IMAGE:5276078), complete cds"	"594140640///594191141///119370715///23271962"	"NM_178863///NR_110933///AF401315///BC036228"	NA	NA	"chr16:29917457-29937545"	"16p11.2"	"Chromosome 16, NC_000016.10 (29906335..29926247, complement)"	"GTP-Rho binding///identical protein binding///protein binding///protein domain specific binding///contributes_to ubiquitin-protein transferase activity"	"DNA replication///cell migration///negative regulation of Rho protein signal transduction///positive regulation of DNA replication///proteasome-mediated ubiquitin-dependent protein catabolic process///protein homooligomerization///protein ubiquitination///protein ubiquitination///stress fiber assembly"	"Cul3-RING ubiquitin ligase complex///nucleoplasm"	"GO:0017049///GO:0042802///GO:0005515///GO:0019904///contributes_to GO:0004842"	"GO:0006260///GO:0016477///GO:0035024///GO:0045740///GO:0043161///GO:0051260///GO:0016567///GO:0016567///GO:0043149"	"GO:0031463///GO:0005654"	0.529294642857151	9.41608469387755	16.2080445569911	1.00385781746685e-29	1.67127268740968e-25	56.5588193577275
"8032637"	8032637	"cactin, spliceosome C complex subunit"	"CACTIN"	"58509"	""	""	""	"Homo sapiens cactin, spliceosome C complex subunit (CACTIN), transcript variant 1, mRNA///Homo sapiens cactin, spliceosome C complex subunit (CACTIN), transcript variant 2, mRNA///Homo sapiens cactin mRNA, complete cds///Homo sapiens cDNA FLJ59047 complete cds"	"122937391///126723148///62512092///194389655"	"NM_001080543///NM_021231///AY917150///AK299963"	NA	NA	"chr19:3610650-3623961"	"19p13.3"	"Chromosome 19, NC_000019.10 (3610628..3626815, complement)"	"poly(A) RNA binding///protein binding"	"cellular response to interleukin-1///cellular response to lipopolysaccharide///cellular response to tumor necrosis factor///innate immune response///mRNA splicing, via spliceosome///multicellular organism development///negative regulation of NF-kappaB transcription factor activity///negative regulation of interferon-beta production///negative regulation of interleukin-8 production///negative regulation of lipopolysaccharide-mediated signaling pathway///negative regulation of protein phosphorylation///negative regulation of toll-like receptor signaling pathway///negative regulation of tumor necrosis factor production///negative regulation of type I interferon-mediated signaling pathway"	"catalytic step 2 spliceosome///cytoplasm///extracellular exosome///nucleoplasm///nucleus"	"GO:0044822///GO:0005515"	"GO:0071347///GO:0071222///GO:0071356///GO:0045087///GO:0000398///GO:0007275///GO:0032088///GO:0032688///GO:0032717///GO:0031665///GO:0001933///GO:0034122///GO:0032720///GO:0060339"	"GO:0071013///GO:0005737///GO:0070062///GO:0005654///GO:0005634"	0.46524892857143	8.32651693877551	14.8675481696532	4.57172381139944e-27	5.07415625827224e-23	50.671052893896
"8097056"	8097056	"small nucleolar RNA, H/ACA box 24"	"SNORA24"	"677809"	""	""	""	"Homo sapiens small nucleolar RNA, H/ACA box 24 (SNORA24), small nucleolar RNA"	"91680830"	"NR_002963"	NA	NA	"chr4:119200345-119200475"	"4q26"	"Chromosome 4, NC_000004.12 (118279190..118279320)"	""	""	""	""	""	""	-1.60152607142857	8.24923408163265	-14.4782904191803	2.81786421266033e-26	2.34566061722377e-22	48.9166811363566
"8154727"	8154727	"solute carrier family 25 member 6"	"SLC25A6"	"293"	""	""	""	"Homo sapiens ADP/ATP translocase mRNA, partial cds"	"3659878"	"AF091236"	NA	NA	"chr9:31254043-31254258"	"Xp22.32 and Yp11.3"	"Chromosome Y, NC_000024.10 (1386152..1392146, complement)///Chromosome X, NC_000023.11 (1386153..1392147, complement)"	"ATP:ADP antiporter activity///adenine transmembrane transporter activity///protein binding///structural constituent of ribosome"	"ADP transport///ATP transport///active induction of host immune response by virus///adenine transport///apoptotic process///protein targeting to mitochondrion///regulation of insulin secretion///translation///transmembrane transport"	"extracellular matrix///integral component of membrane///mitochondrial inner membrane///mitochondrial inner membrane presequence translocase complex///mitochondrion///nucleus"	"GO:0005471///GO:0015207///GO:0005515///GO:0003735"	"GO:0015866///GO:0015867///GO:0046732///GO:0015853///GO:0006915///GO:0006626///GO:0050796///GO:0006412///GO:0055085"	"GO:0031012///GO:0016021///GO:0005743///GO:0005744///GO:0005739///GO:0005634"	0.631254761904765	11.4309183673469	14.1842925312485	1.12621371593878e-25	7.4999076199227e-22	47.5787783727171
"7960689"	7960689	"myeloid leukemia factor 2"	"MLF2"	"8079"	""	""	""	"Homo sapiens myeloid leukemia factor 2 (MLF2), transcript variant 1, mRNA///Homo sapiens myeloid leukemia factor 2 (MLF2), transcript variant 2, non-coding RNA///Homo sapiens clone 24433 myelodysplasia/myeloid leukemia factor 2 mRNA, complete cds///Homo sapiens myeloid leukemia factor 2, mRNA (cDNA clone MGC:5310 IMAGE:2900086), complete cds///Homo sapiens myeloid leukemia factor 2, mRNA (cDNA clone MGC:8380 IMAGE:2820309), complete cds///Homo sapiens myeloid leukemia factor 2 mRNA, complete cds///Homo sapiens myeloid leukemia factor 2 mRNA, complete cds///Homo sapiens full open reading frame cDNA clone RZPDo834F0728D for gene MLF2, myeloid leukemia factor 2; complete cds, without stopcodon///Human myelodysplasia/myeloid leukemia factor 2 (MLF2) mRNA, complete cds///Homo sapiens cDNA, FLJ94652, Homo sapiens myeloid leukemia factor 2 (MLF2), mRNA"	"219842276///219842277///3387896///23468217///33876576///54695655///54695733///49456360///1399744///164696375"	"NM_005439///NR_026581///AF070539///BC000898///BC002340///BT019393///BT019432///CR541700///U57342///AK313998"	NA	NA	"chr12:6857158-6862300"	"12p13"	"Chromosome 12, NC_000012.12 (6747992..6753470, complement)"	"protein binding"	"defense response"	"cytoplasm///membrane///nucleus"	"GO:0005515"	"GO:0006952"	"GO:0005737///GO:0016020///GO:0005634"	0.65789714285714	10.3326039795918	14.117310953582	1.54637726568573e-25	8.16328823564957e-22	47.2724428199495
"8037144"	8037144	"death effector domain containing 2"	"DEDD2"	"162989"	""	""	""	"Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 2, mRNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 3, mRNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 1, mRNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 4, non-coding RNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 7, non-coding RNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 8, non-coding RNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 9, non-coding RNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 10, non-coding RNA///Homo sapiens death effector domain-containing DNA-binding protein 2 (DEDD2) mRNA, complete cds///Homo sapiens death effector domain-containing protein FLAME-3 (FLAME-3) mRNA, complete cds///Homo sapiens death effector domain-containing DNA-binding 2 protein (DEDD2) mRNA, complete cds///Homo sapiens death effector domain containing 2, mRNA (cDNA clone MGC:16414 IMAGE:3941907), complete cds///Homo sapiens death effector domain containing 2, mRNA (cDNA clone MGC:35529 IMAGE:5199772), complete cds///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 6, non-coding RNA///Homo sapiens death effector domain containing 2 (DEDD2), transcript variant 5, non-coding RNA///Homo sapiens cDNA, FLJ97843"	"396941647///396941649///396941646///396941677///396941678///396941680///396941681///396941682///17933266///20126793///22475163///33872465///20379818///396941679///396941676///164694052"	"NM_001270614///NM_001270615///NM_133328///NR_073046///NR_073049///NR_073050///NR_073051///NR_073052///AF443591///AF457575///AY125488///BC013372///BC027930///NR_073048///NR_073047///AK307895"	NA	NA	"chr19:42702750-42724275"	"19q13.2"	"Chromosome 19, NC_000019.10 (42198593..42220152, complement)"	"DNA binding///protein binding///receptor signaling complex scaffold activity"	"RNA processing///apoptotic nuclear changes///cellular homeostasis///extrinsic apoptotic signaling pathway via death domain receptors///intracellular signal transduction///negative regulation of transcription, DNA-templated///positive regulation of extrinsic apoptotic signaling pathway///rRNA catabolic process///transcription, DNA-templated"	"nucleolus///nucleoplasm"	"GO:0003677///GO:0005515///GO:0030159"	"GO:0006396///GO:0030262///GO:0019725///GO:0008625///GO:0035556///GO:0045892///GO:2001238///GO:0016075///GO:0006351"	"GO:0005730///GO:0005654"	0.432239166666669	10.0258178571429	14.0953264024771	1.71616114513461e-25	8.16328823564957e-22	47.1717762315377
"8074773"	8074773	"YdjC homolog (bacterial)"	"YDJC"	"150223"	""	""	""	"Homo sapiens YdjC homolog (bacterial) (YDJC), mRNA///Homo sapiens YdjC homolog (bacterial), mRNA (cDNA clone IMAGE:4876099), with apparent retained intron///Homo sapiens YdjC homolog (bacterial), mRNA (cDNA clone IMAGE:5300222)///Homo sapiens YdjC homolog (bacterial), mRNA (cDNA clone IMAGE:40023909), complete cds///Homo sapiens YdjC homolog (bacterial), mRNA (cDNA clone IMAGE:40147065), complete cds///Homo sapiens YdjC homolog (bacterial), mRNA (cDNA clone IMAGE:40147069), complete cds"	"63054867///33878564///66911820///82414807///124376007///124376985"	"NM_001017964///BC017281///BC096754///BC110075///BC133043///BC133047"	NA	NA	"chr22:21982378-21984354"	"22q11.21"	"Chromosome 22, NC_000022.11 (21628089..21630326, complement)"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds///magnesium ion binding"	"carbohydrate metabolic process"	""	"GO:0016810///GO:0000287"	"GO:0005975"	""	0.407405238095238	8.73630448979592	13.2401079415494	1.02962927496656e-23	4.2854457460702e-20	43.2104272491933
"7942594"	7942594	"small nucleolar RNA, C/D box 15B"	"SNORD15B"	"114599"	""	""	""	"Homo sapiens small nucleolar RNA, C/D box 15B (SNORD15B), small nucleolar RNA"	"22546010"	"NR_000025"	NA	NA	"chr11:75115464-75115610"	"11q13.4"	"Chromosome 11, NC_000011.10 (75404421..75404566)"	""	""	""	""	""	""	-1.04789809523809	8.13615163265306	-13.1584203051094	1.52864584743866e-23	5.65548008690724e-20	42.8275894679501
"7951034"	7951034	"small nucleolar RNA, H/ACA box 8///TATA-box binding protein associated factor, RNA polymerase I subunit D"	"SNORA8///TAF1D"	"654320///79101"	""	""	""	"Homo sapiens small nucleolar RNA, H/ACA box 8 (SNORA8), small nucleolar RNA///Homo sapiens cDNA FLJ32621 fis, clone STOMA2000395///Homo sapiens cDNA FLJ46181 fis, clone TESTI4004210"	"86604718///16552779///34535247"	"NR_002920///AK057183///AK128061"	NA	NA	"chr11:93465527-93465665"	"11q21///11q21"	"Chromosome 11, NC_000011.10 (93732361..93732499, complement)///Chromosome 11, NC_000011.10 (93735929..93741537, complement)"	"DNA binding///protein binding"	"positive regulation of gene expression, epigenetic///regulation of transcription, DNA-templated///termination of RNA polymerase I transcription///transcription elongation from RNA polymerase I promoter///transcription initiation from RNA polymerase I promoter"	"RNA polymerase transcription factor SL1 complex///microtubule organizing center///nucleoplasm///nucleoplasm"	"GO:0003677///GO:0005515"	"GO:0045815///GO:0006355///GO:0006363///GO:0006362///GO:0006361"	"GO:0005668///GO:0005815///GO:0005654///GO:0005654"	-1.14431309523809	8.86705448979592	-12.8589305679087	6.54717193946616e-23	2.18001184068405e-19	41.4176998836742
